channel,month,stage,stage_name,index,metric_name,aggregation_method,value,devided_by
Total,2025-09-01,3,salesforce,10,total opportunities,sum,187.0,
Total,2025-09-01,1,ads,4,cost per click,ratio,297144.64,943894.0
Total,2025-09-01,2,site,8,site conversion rate,ratio,229.0,1506.0
Total,2025-09-01,2,site,6,total sessions,sum,1506.0,
Total,2025-09-01,3,salesforce,14,roas,ratio,3086293.2199999997,297144.64
Total,2025-09-01,1,ads,3,total ad spend,sum,297144.64,
Total,2025-09-01,2,site,9,cost per session,ratio,297144.64,1212.0
Total,2025-09-01,3,salesforce,13,total revenue,sum,5177913.57,
Total,2025-09-01,1,ads,5,ad click rate%,ratio,943894.0,11635415.0
Total,2025-09-01,1,ads,2,total clicks,sum,943894.0,
Total,2025-09-01,3,salesforce,12,close won rate,ratio,45.0,187.0
Total,2025-09-01,1,ads,1,total impression,sum,11635415.0,
Total,2025-09-01,3,salesforce,11,total closed won opportunities,sum,45.0,
Total,2025-09-01,2,site,7,total form submissions,sum,229.0,
Organic,2025-08-01,3,salesforce,10,total opportunities,sum,25.0,
Organic,2025-08-01,1,ads,4,cost per click,ratio,0.0,0.0
Organic,2025-08-01,2,site,8,site conversion rate,ratio,29.0,173.0
Organic,2025-08-01,2,site,6,total sessions,sum,173.0,
Organic,2025-08-01,3,salesforce,14,roas,ratio,,0.0
Organic,2025-08-01,1,ads,3,total ad spend,sum,0.0,
Organic,2025-08-01,2,site,9,cost per session,ratio,0.0,
Organic,2025-08-01,3,salesforce,13,total revenue,sum,631690.66,
Organic,2025-08-01,1,ads,5,ad click rate%,ratio,0.0,0.0
Organic,2025-08-01,1,ads,2,total clicks,sum,0.0,
Organic,2025-08-01,3,salesforce,12,close won rate,ratio,6.0,25.0
Organic,2025-08-01,1,ads,1,total impression,sum,0.0,
Organic,2025-08-01,3,salesforce,11,total closed won opportunities,sum,6.0,
Organic,2025-08-01,2,site,7,total form submissions,sum,29.0,
Google Ads,2025-07-01,3,salesforce,10,total opportunities,sum,14.0,
Google Ads,2025-07-01,1,ads,4,cost per click,ratio,157809.01,483973.0
Google Ads,2025-07-01,2,site,8,site conversion rate,ratio,81.0,525.0
Google Ads,2025-07-01,2,site,6,total sessions,sum,525.0,
Google Ads,2025-07-01,3,salesforce,14,roas,ratio,472356.5,157809.01
Google Ads,2025-07-01,1,ads,3,total ad spend,sum,157809.01,
Google Ads,2025-07-01,2,site,9,cost per session,ratio,157809.01,525.0
Google Ads,2025-07-01,3,salesforce,13,total revenue,sum,472356.5,
Google Ads,2025-07-01,1,ads,5,ad click rate%,ratio,483973.0,5336274.0
Google Ads,2025-07-01,1,ads,2,total clicks,sum,483973.0,
Google Ads,2025-07-01,3,salesforce,12,close won rate,ratio,3.0,14.0
Google Ads,2025-07-01,1,ads,1,total impression,sum,5336274.0,
Google Ads,2025-07-01,3,salesforce,11,total closed won opportunities,sum,3.0,
Google Ads,2025-07-01,2,site,7,total form submissions,sum,81.0,
LinkedIn,2025-07-01,3,salesforce,10,total opportunities,sum,7.0,
LinkedIn,2025-07-01,1,ads,4,cost per click,ratio,101753.41,323074.0
LinkedIn,2025-07-01,2,site,8,site conversion rate,ratio,40.0,307.0
LinkedIn,2025-07-01,2,site,6,total sessions,sum,307.0,
LinkedIn,2025-07-01,3,salesforce,14,roas,ratio,199993.22000000003,101753.41
LinkedIn,2025-07-01,1,ads,3,total ad spend,sum,101753.41,
LinkedIn,2025-07-01,2,site,9,cost per session,ratio,101753.41,307.0
LinkedIn,2025-07-01,3,salesforce,13,total revenue,sum,199993.22000000003,
LinkedIn,2025-07-01,1,ads,5,ad click rate%,ratio,323074.0,4414039.0
LinkedIn,2025-07-01,1,ads,2,total clicks,sum,323074.0,
LinkedIn,2025-07-01,3,salesforce,12,close won rate,ratio,2.0,7.0
LinkedIn,2025-07-01,1,ads,1,total impression,sum,4414039.0,
LinkedIn,2025-07-01,3,salesforce,11,total closed won opportunities,sum,2.0,
LinkedIn,2025-07-01,2,site,7,total form submissions,sum,40.0,
Twitter,2025-09-01,3,salesforce,10,total opportunities,sum,0.0,
Twitter,2025-09-01,1,ads,4,cost per click,ratio,46334.79,147937.0
Twitter,2025-09-01,2,site,8,site conversion rate,ratio,20.0,158.0
Twitter,2025-09-01,2,site,6,total sessions,sum,158.0,
Twitter,2025-09-01,3,salesforce,14,roas,ratio,0.0,46334.79
Twitter,2025-09-01,1,ads,3,total ad spend,sum,46334.79,
Twitter,2025-09-01,2,site,9,cost per session,ratio,46334.79,158.0
Twitter,2025-09-01,3,salesforce,13,total revenue,sum,0.0,
Twitter,2025-09-01,1,ads,5,ad click rate%,ratio,147937.0,1644374.0
Twitter,2025-09-01,1,ads,2,total clicks,sum,147937.0,
Twitter,2025-09-01,3,salesforce,12,close won rate,ratio,0.0,0.0
Twitter,2025-09-01,1,ads,1,total impression,sum,1644374.0,
Twitter,2025-09-01,3,salesforce,11,total closed won opportunities,sum,0.0,
Twitter,2025-09-01,2,site,7,total form submissions,sum,20.0,
Google Ads,2025-08-01,3,salesforce,10,total opportunities,sum,31.0,
Google Ads,2025-08-01,1,ads,4,cost per click,ratio,104613.01,321721.0
Google Ads,2025-08-01,2,site,8,site conversion rate,ratio,92.0,534.0
Google Ads,2025-08-01,2,site,6,total sessions,sum,534.0,
Google Ads,2025-08-01,3,salesforce,14,roas,ratio,944020.05999999994,104613.01
Google Ads,2025-08-01,1,ads,3,total ad spend,sum,104613.01,
Google Ads,2025-08-01,2,site,9,cost per session,ratio,104613.01,534.0
Google Ads,2025-08-01,3,salesforce,13,total revenue,sum,944020.05999999994,
Google Ads,2025-08-01,1,ads,5,ad click rate%,ratio,321721.0,4119049.0
Google Ads,2025-08-01,1,ads,2,total clicks,sum,321721.0,
Google Ads,2025-08-01,3,salesforce,12,close won rate,ratio,6.0,31.0
Google Ads,2025-08-01,1,ads,1,total impression,sum,4119049.0,
Google Ads,2025-08-01,3,salesforce,11,total closed won opportunities,sum,6.0,
Google Ads,2025-08-01,2,site,7,total form submissions,sum,92.0,
Meta,2025-08-01,3,salesforce,10,total opportunities,sum,19.0,
Meta,2025-08-01,1,ads,4,cost per click,ratio,90694.939999999988,233219.0
Meta,2025-08-01,2,site,8,site conversion rate,ratio,54.0,352.0
Meta,2025-08-01,2,site,6,total sessions,sum,352.0,
Meta,2025-08-01,3,salesforce,14,roas,ratio,421159.88,90694.939999999988
Meta,2025-08-01,1,ads,3,total ad spend,sum,90694.939999999988,
Meta,2025-08-01,2,site,9,cost per session,ratio,90694.939999999988,352.0
Meta,2025-08-01,3,salesforce,13,total revenue,sum,421159.88,
Meta,2025-08-01,1,ads,5,ad click rate%,ratio,233219.0,3035748.0
Meta,2025-08-01,1,ads,2,total clicks,sum,233219.0,
Meta,2025-08-01,3,salesforce,12,close won rate,ratio,3.0,19.0
Meta,2025-08-01,1,ads,1,total impression,sum,3035748.0,
Meta,2025-08-01,3,salesforce,11,total closed won opportunities,sum,3.0,
Meta,2025-08-01,2,site,7,total form submissions,sum,54.0,
Direct,2025-07-01,3,salesforce,10,total opportunities,sum,5.0,
Direct,2025-07-01,1,ads,4,cost per click,ratio,0.0,0.0
Direct,2025-07-01,2,site,8,site conversion rate,ratio,20.0,163.0
Direct,2025-07-01,2,site,6,total sessions,sum,163.0,
Direct,2025-07-01,3,salesforce,14,roas,ratio,,0.0
Direct,2025-07-01,1,ads,3,total ad spend,sum,0.0,
Direct,2025-07-01,2,site,9,cost per session,ratio,0.0,
